分拣中心,日期,小时,货量
SC1,2023-12-1,0,168.8140552
SC1,2023-12-1,1,134.0147888
SC1,2023-12-1,2,152.0413103
SC1,2023-12-1,3,140.5622889
SC1,2023-12-1,4,111.8647353
SC1,2023-12-1,5,63.94260713
SC1,2023-12-1,6,62.27090498
SC1,2023-12-1,7,108.9113949
SC1,2023-12-1,8,126.1020653
SC1,2023-12-1,9,113.1463737
SC1,2023-12-1,10,122.5914908
SC1,2023-12-1,11,122.1735652
SC1,2023-12-1,12,118.7465758
SC1,2023-12-1,13,123.0930014
SC1,2023-12-1,14,84.33737332
SC1,2023-12-1,15,113.7593311
SC1,2023-12-1,16,104.871448
SC1,2023-12-1,17,104.3420757
SC1,2023-12-1,18,98.29608625
SC1,2023-12-1,19,121.5327461
SC1,2023-12-1,20,121.3934376
SC1,2023-12-1,21,127.4672887
SC1,2023-12-1,22,140.3393952
SC1,2023-12-1,23,157.9479912
SC1,2023-12-2,0,109.4211946
SC1,2023-12-2,1,130.8518139
SC1,2023-12-2,2,161.732842
SC1,2023-12-2,3,148.8802861
SC1,2023-12-2,4,181.7095523
SC1,2023-12-2,5,90.54945525
SC1,2023-12-2,6,46.69955849
SC1,2023-12-2,7,53.85279098
SC1,2023-12-2,8,107.705582
SC1,2023-12-2,9,123.3496433
SC1,2023-12-2,10,90.60761161
SC1,2023-12-2,11,106.9204711
SC1,2023-12-2,12,122.3900633
SC1,2023-12-2,13,85.80971176
SC1,2023-12-2,14,40.50590596
SC1,2023-12-2,15,73.88765761
SC1,2023-12-2,16,69.72947774
SC1,2023-12-2,17,83.65792638
SC1,2023-12-2,18,83.71608274
SC1,2023-12-2,19,95.66721508
SC1,2023-12-2,20,102.4424312
SC1,2023-12-2,21,131.4624557
SC1,2023-12-2,22,160.6278712
SC1,2023-12-2,23,148.6476606
SC1,2023-12-3,0,130.7515058
SC1,2023-12-3,1,150.2232193
SC1,2023-12-3,2,168.9448667
SC1,2023-12-3,3,140.8323929
SC1,2023-12-3,4,122.7408009
SC1,2023-12-3,5,39.33346125
SC1,2023-12-3,6,37.32328436
SC1,2023-12-3,7,87.00765646
SC1,2023-12-3,8,75.3066268
SC1,2023-12-3,9,38.64340053
SC1,2023-12-3,10,56.88500574
SC1,2023-12-3,11,91.08801552
SC1,2023-12-3,12,86.46760894
SC1,2023-12-3,13,72.96642087
SC1,2023-12-3,14,9.690852771
SC1,2023-12-3,15,23.1620382
SC1,2023-12-3,16,45.90403944
SC1,2023-12-3,17,44.9739576
SC1,2023-12-3,18,21.24186923
SC1,2023-12-3,19,89.85790728
SC1,2023-12-3,20,131.651585
SC1,2023-12-3,21,126.401123
SC1,2023-12-3,22,142.4225328
SC1,2023-12-3,23,136.9320497
SC1,2023-12-4,0,123.7436323
SC1,2023-12-4,1,126.5078236
SC1,2023-12-4,2,120.3651762
SC1,2023-12-4,3,115.021073
SC1,2023-12-4,4,98.28235874
SC1,2023-12-4,5,84.55354175
SC1,2023-12-4,6,28.04118548
SC1,2023-12-4,7,49.07975289
SC1,2023-12-4,8,69.71904823
SC1,2023-12-4,9,57.5258931
SC1,2023-12-4,10,48.46548815
SC1,2023-12-4,11,71.74612188
SC1,2023-12-4,12,96.3474248
SC1,2023-12-4,13,92.87682901
SC1,2023-12-4,14,14.4045082
SC1,2023-12-4,15,29.8839797
