分拣中心,日期,小时,货量,
SC1,2023-12-1,0,201.8081028,
SC1,2023-12-1,1,167.0088364,
SC1,2023-12-1,2,185.0353579,
SC1,2023-12-1,3,173.5563365,
SC1,2023-12-1,4,144.8587829,
SC1,2023-12-1,5,96.93665475,
SC1,2023-12-1,6,95.2649526,
SC1,2023-12-1,7,141.9054425,
SC1,2023-12-1,8,159.0961129,
SC1,2023-12-1,9,146.1404213,
SC1,2023-12-1,10,155.5855384,
SC1,2023-12-1,11,155.1676128,
SC1,2023-12-1,12,151.7406234,
SC1,2023-12-1,13,156.087049,
SC1,2023-12-1,14,117.3314209,
SC1,2023-12-1,15,146.7533787,
SC1,2023-12-1,16,137.8654956,
SC1,2023-12-1,17,137.3361233,
SC1,2023-12-1,18,131.2901339,
SC1,2023-12-1,19,154.5267937,
SC1,2023-12-1,20,154.3874852,
SC1,2023-12-1,21,160.4613363,
SC1,2023-12-1,22,173.3334428,
SC1,2023-12-1,23,190.9420388,
SC1,2023-12-2,0,142.4152422,
SC1,2023-12-2,1,163.8458615,
SC1,2023-12-2,2,194.7268896,
SC1,2023-12-2,3,181.8743337,
SC1,2023-12-2,4,214.7035999,
SC1,2023-12-2,5,123.5435029,
SC1,2023-12-2,6,79.69360611,
SC1,2023-12-2,7,86.8468386,
SC1,2023-12-2,8,140.6996296,
SC1,2023-12-2,9,156.3436909,
SC1,2023-12-2,10,123.6016592,
SC1,2023-12-2,11,139.9145187,
SC1,2023-12-2,12,155.3841109,
SC1,2023-12-2,13,118.8037594,
SC1,2023-12-2,14,73.49995358,
SC1,2023-12-2,15,106.8817052,
SC1,2023-12-2,16,102.7235254,
SC1,2023-12-2,17,116.651974,
SC1,2023-12-2,18,116.7101304,
SC1,2023-12-2,19,128.6612627,
SC1,2023-12-2,20,135.4364788,
SC1,2023-12-2,21,164.4565033,
SC1,2023-12-2,22,193.6219188,
SC1,2023-12-2,23,181.6417082,
SC1,2023-12-3,0,163.7455534,
SC1,2023-12-3,1,183.2172669,
SC1,2023-12-3,2,201.9389143,
SC1,2023-12-3,3,173.8264405,
SC1,2023-12-3,4,155.7348485,
SC1,2023-12-3,5,72.32750887,
SC1,2023-12-3,6,70.31733198,
SC1,2023-12-3,7,120.0017041,
SC1,2023-12-3,8,108.3006744,
SC1,2023-12-3,9,71.63744815,
SC1,2023-12-3,10,89.87905336,
SC1,2023-12-3,11,124.0820631,
SC1,2023-12-3,12,119.4616566,
SC1,2023-12-3,13,105.9604685,
SC1,2023-12-3,14,42.68490039,
SC1,2023-12-3,15,56.15608582,
SC1,2023-12-3,16,78.89808706,
SC1,2023-12-3,17,77.96800522,
SC1,2023-12-3,18,54.23591685,
SC1,2023-12-3,19,122.8519549,
SC1,2023-12-3,20,164.6456326,
SC1,2023-12-3,21,159.3951706,
SC1,2023-12-3,22,175.4165804,
SC1,2023-12-3,23,169.9260973,
SC1,2023-12-4,0,156.7376799,
SC1,2023-12-4,1,159.5018712,
SC1,2023-12-4,2,153.3592238,
SC1,2023-12-4,3,148.0151206,
SC1,2023-12-4,4,131.2764064,
SC1,2023-12-4,5,117.5475894,
SC1,2023-12-4,6,61.0352331,
SC1,2023-12-4,7,82.07380051,
SC1,2023-12-4,8,102.7130958,
SC1,2023-12-4,9,90.51994072,
SC1,2023-12-4,10,81.45953577,
SC1,2023-12-4,11,104.7401695,
SC1,2023-12-4,12,129.3414724,
SC1,2023-12-4,13,125.8708766,
SC1,2023-12-4,14,47.39855582,
