分拣中心,日期,班次,正式工人数,临时工人数
SC1,1,00:00-08:00,9,83
SC1,1,05:00-13:00,82,31
SC1,1,08:00-16:00,74,65
SC1,1,12:00-20:00,69,89
SC1,1,14:00-22:00,26,67
SC1,1,16:00-24:00,48,55
SC1,2,00:00-08:00,60,72
SC1,2,05:00-13:00,29,59
SC1,2,08:00-16:00,56,34
SC1,2,12:00-20:00,42,35
SC1,2,14:00-22:00,62,77
SC1,2,16:00-24:00,57,63
SC1,3,00:00-08:00,77,89
SC1,3,05:00-13:00,32,72
SC1,3,08:00-16:00,32,109
SC1,3,12:00-20:00,77,85
SC1,3,14:00-22:00,109,96
SC1,3,16:00-24:00,23,38
SC1,4,00:00-08:00,62,115
SC1,4,05:00-13:00,28,76
SC1,4,08:00-16:00,107,61
SC1,4,12:00-20:00,45,60
SC1,4,14:00-22:00,78,62
SC1,4,16:00-24:00,57,56
SC1,5,00:00-08:00,35,105
SC1,5,05:00-13:00,66,97
SC1,5,08:00-16:00,65,30
SC1,5,12:00-20:00,36,105
SC1,5,14:00-22:00,48,38
SC1,5,16:00-24:00,9,38
SC1,6,00:00-08:00,62,57
SC1,6,05:00-13:00,84,41
SC1,6,08:00-16:00,37,8
SC1,6,12:00-20:00,40,50
SC1,6,14:00-22:00,61,79
SC1,6,16:00-24:00,38,62
SC1,7,00:00-08:00,94,86
SC1,7,05:00-13:00,33,60
SC1,7,08:00-16:00,70,63
SC1,7,12:00-20:00,57,61
SC1,7,14:00-22:00,98,116
SC1,7,16:00-24:00,108,87
SC1,8,00:00-08:00,98,89
SC1,8,05:00-13:00,86,57
SC1,8,08:00-16:00,34,35
SC1,8,12:00-20:00,46,42
SC1,8,14:00-22:00,41,44
SC1,8,16:00-24:00,43,92
SC1,9,00:00-08:00,82,7
SC1,9,05:00-13:00,17,90
SC1,9,08:00-16:00,83,95
SC1,9,12:00-20:00,18,75
SC1,9,14:00-22:00,40,58
SC1,9,16:00-24:00,64,28
SC1,10,00:00-08:00,26,72
SC1,10,05:00-13:00,104,12
SC1,10,08:00-16:00,77,85
SC1,10,12:00-20:00,91,22
SC1,10,14:00-22:00,36,68
SC1,10,16:00-24:00,36,93
SC1,11,00:00-08:00,31,56
SC1,11,05:00-13:00,76,91
SC1,11,08:00-16:00,76,20
SC1,11,12:00-20:00,52,51
SC1,11,14:00-22:00,37,54
SC1,11,16:00-24:00,71,60
SC1,12,00:00-08:00,20,58
SC1,12,05:00-13:00,93,66
SC1,12,08:00-16:00,72,96
SC1,12,12:00-20:00,12,96
SC1,12,14:00-22:00,52,47
SC1,12,16:00-24:00,67,74
SC1,13,00:00-08:00,86,68
SC1,13,05:00-13:00,96,72
SC1,13,08:00-16:00,95,74
SC1,13,12:00-20:00,50,63
SC1,13,14:00-22:00,26,26
SC1,13,16:00-24:00,32,82
SC1,14,00:00-08:00,105,71
SC1,14,05:00-13:00,36,41
SC1,14,08:00-16:00,53,51
SC1,14,12:00-20:00,112,68
SC1,14,14:00-22:00,97,55
SC1,14,16:00-24:00,50,60
SC1,15,00:00-08:00,62,96
SC1,15,05:00-13:00,37,52
SC1,15,08:00-16:00,78,39
SC1,15,12:00-20:00,33,52
SC1,15,14:00-22:00,58,84
SC1,15,16:00-24:00,26,65
SC1,16,00:00-08:00,75,74
SC1,16,05:00-13:00,71,59
SC1,16,08:00-16:00,36,55
SC1,16,12:00-20:00,92,68
SC1,16,14:00-22:00,86,38
SC1,16,16:00-24:00,84,83
SC1,17,00:00-08:00,77,72
SC1,17,05:00-13:00,43,65
SC1,17,08:00-16:00,75,85
SC1,17,12:00-20:00,79,15
SC1,17,14:00-22:00,20,64
SC1,17,16:00-24:00,26,40
SC1,18,00:00-08:00,44,32
SC1,18,05:00-13:00,61,94
SC1,18,08:00-16:00,93,50
SC1,18,12:00-20:00,48,89
SC1,18,14:00-22:00,91,22
SC1,18,16:00-24:00,77,95
SC1,19,00:00-08:00,43,58
SC1,19,05:00-13:00,108,62
SC1,19,08:00-16:00,67,92
SC1,19,12:00-20:00,108,75
SC1,19,14:00-22:00,85,4
SC1,19,16:00-24:00,62,58
SC1,20,00:00-08:00,64,25
SC1,20,05:00-13:00,22,93
SC1,20,08:00-16:00,19,110
SC1,20,12:00-20:00,73,84
SC1,20,14:00-22:00,33,28
SC1,20,16:00-24:00,17,88
SC1,21,00:00-08:00,67,44
SC1,21,05:00-13:00,41,60
SC1,21,08:00-16:00,29,22
SC1,21,12:00-20:00,59,87
SC1,21,14:00-22:00,15,89
SC1,21,16:00-24:00,76,69
SC1,22,00:00-08:00,48,40
SC1,22,05:00-13:00,31,32
SC1,22,08:00-16:00,45,91
SC1,22,12:00-20:00,16,100
SC1,22,14:00-22:00,51,57
SC1,22,16:00-24:00,73,55
SC1,23,00:00-08:00,58,91
SC1,23,05:00-13:00,102,66
SC1,23,08:00-16:00,47,37
SC1,23,12:00-20:00,22,41
SC1,23,14:00-22:00,75,95
SC1,23,16:00-24:00,3,91
SC1,24,00:00-08:00,31,27
SC1,24,05:00-13:00,54,40
SC1,24,08:00-16:00,80,112
SC1,24,12:00-20:00,69,42
SC1,24,14:00-22:00,55,68
SC1,24,16:00-24:00,38,39
SC1,25,00:00-08:00,38,66
SC1,25,05:00-13:00,50,54
SC1,25,08:00-16:00,68,31
SC1,25,12:00-20:00,49,19
SC1,25,14:00-22:00,24,52
SC1,25,16:00-24:00,65,108
SC1,26,00:00-08:00,64,87
SC1,26,05:00-13:00,31,50
SC1,26,08:00-16:00,88,68
SC1,26,12:00-20:00,90,67
SC1,26,14:00-22:00,71,68
SC1,26,16:00-24:00,91,20
SC1,27,00:00-08:00,62,65
SC1,27,05:00-13:00,95,104
SC1,27,08:00-16:00,68,68
SC1,27,12:00-20:00,51,52
SC1,27,14:00-22:00,40,45
SC1,27,16:00-24:00,82,73
SC1,28,00:00-08:00,52,38
SC1,28,05:00-13:00,29,106
SC1,28,08:00-16:00,67,77
SC1,28,12:00-20:00,100,54
SC1,28,14:00-22:00,84,41
SC1,28,16:00-24:00,30,86
SC1,29,00:00-08:00,74,78
SC1,29,05:00-13:00,3,42
SC1,29,08:00-16:00,62,95
